Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
SLC10A1	6.8515206796417365	1.0128638718741823	0.2571183622590664	0.4508921958953858	0.6023473475978741	FALSE
LOC105375166	8.017016091193813	1.0088931113630732	0.30489964931648006	3.891368765205718e-5	0.00577814241024735	TRUE
CT45A3	3.3251424556791602	1.006025852578292	0.5608364107087793	0.0015016422634415924	0.023565128340752365	TRUE
LOC107984827	12.81495927364159	1.0048193090255617	0.33365836999669357	1.0698744059497404e-4	0.008340082731302696	TRUE
ITGB4	2876.6155641842192	1.0028573672763672	0.3220893341451727	8.77860958671676e-5	0.007838920643117635	TRUE
CYLC2	10.402828078330536	1.0004813462670177	0.30910217648400495	5.801271795777973e-5	0.006607100196465142	TRUE
SERPINH1	440.66596984970334	0.999436761941172	0.24357892084506866	0.11755728041087117	0.24614664439455436	FALSE
IQCJ	21.704099209540317	0.9947200159525729	0.2974014891518883	3.840686425749934e-5	0.00577814241024735	TRUE
CXCR1	4.26977763169101	0.9903720286296881	0.38975161631761907	4.0119890062551933e-4	0.014221641816710522	TRUE
NLRP6	3.2469029021757665	0.9852008080889894	0.35458875874598317	0.48558619550638593	0.6333564576110869	FALSE
RNY1P16	13.261915226796951	0.9837356945237843	0.2670932982632228	1.196253132272597e-5	0.0035564450264914662	TRUE
MAGI2-AS2	4.2138551166426605	0.9780708329702317	0.3544133159757194	2.586753353115357e-4	0.012055647474920494	TRUE
IRF4	13.347667624605917	0.9764656251275198	0.324184850512764	0.23288143800691374	0.3861173230139979	FALSE
ADGRG3	9.41520483440804	0.9743005394878965	0.33752864899617047	1.6775158952805216e-4	0.009922918313891912	TRUE
TNFRSF17	8.289057845509294	0.9696410741707215	0.3033238180135672	5.989663938795747e-5	0.006688555457898158	TRUE
PLA1A	53.74808902468082	0.9674530323225196	0.28298391792401795	2.8506821703289996e-5	0.00505098481074941	TRUE
HP	50.54039559740035	0.9662961021262383	0.15824934302344856	0.0018886828614036759	0.02585868903304602	TRUE
PDILT	3.228563291889484	0.9646278363654525	0.29557763565154915	5.4984040707061034e-5	0.006536322538559177	TRUE
RN7SL404P	2.7989264393086613	0.9622883460417003	0.4032831127198738	5.690738960039815e-4	0.016333158180984637	TRUE
HIGD1C	4.294022223570849	0.9622249986204433	0.31166984940906806	9.030399638860023e-5	0.007838920643117635	TRUE
RN7SKP76	7.639348875466841	0.9565376549805761	0.3170773865485097	1.1851883929048462e-4	0.008655183868830938	TRUE
KRTAP3-1	2.9980202827761144	0.9526193230226642	0.35232624713911137	2.6028259221789134e-4	0.012085981949395473	TRUE
RNU6-321P	3.271319384675403	0.9412907295260486	0.36876946700059615	4.210178313675118e-4	0.014363547236460626	TRUE
LOC101928622	18.128981562527933	0.9381230880964686	0.30568917803681583	8.94301107278653e-5	0.007838920643117635	TRUE
CISH	26.69460437085426	0.9380264535239977	0.3218859503777251	0.015266648651205155	0.0699507605135455	FALSE
RNU1-8P	3.0317859000622316	0.9371943876498963	0.34898242268221746	2.899026921781419e-4	0.012478349463155309	TRUE
MIR8086	6.0411393133491895	0.9348619740861871	0.28575919146094986	5.297364435618844e-5	0.006519745519364869	TRUE
FGFRL1	2430.472512270041	0.9314958508287592	0.25442572314629763	1.3344793966003604e-5	0.0036147549914939472	TRUE
RN7SL864P	2.841861328002807	0.9297266174832522	0.35001212662704556	3.181400569960032e-4	0.013005111044200901	TRUE
FCN2	4.204626634875015	0.9261174220165789	0.3891029564709529	6.557725824046271e-4	0.01696265079819969	TRUE
ZSCAN10	5.399285082364372	0.9210033867228749	0.3683146259611237	4.8465480439733314e-4	0.015085596926430531	TRUE
NPIPA8	159.86340817145478	0.9200164194051735	0.4437390437168648	0.0012434766259895097	0.022044660281968432	TRUE
C10orf71	12.388057691139391	0.9196237726102617	0.23817841301773057	6.085322550724067e-6	0.0024018138591581956	TRUE
RN7SL79P	8.327375009442195	0.9166574875195602	0.2892834895851224	8.020843485191758e-5	0.007536811695414598	TRUE
LOC122526776	11.788511860360806	0.9154632193216928	0.2816818517055849	5.763055944548054e-5	0.006607100196465142	TRUE
CHI3L1	1146.3833029056327	0.9112632219178831	0.44953990617321793	0.0013730963088086825	0.022713603056341822	TRUE
RN7SKP96	12.217469498929896	0.904242195201338	0.2889613518672708	8.054505201157592e-5	0.007536811695414598	TRUE
RN7SL70P	2.448964138853669	0.9012608468322363	0.34769174009532705	3.861760843868035e-4	0.013878929622344655	TRUE
DNAJB5-DT	4.253147668156176	0.8938462329763682	0.30002755618177307	0.18124338189711758	0.3271068667919281	FALSE
